	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Granulicatella	98.173140569066	81.9753850371625	134.347184926461	135.246162622274	285.084930829178	132.214240437343	98.2397753937824	137.687846173116	105.799690005554	171.86227410354	121.522736088817	108.992031497385	93.333987923261	1005.31217245348	340.392498550067	194.671919283228	169.960072410425	93.1978292745615	87.8434583817006	150.906890875917
Haemophilus	118.572568273718	152.73723321407	198.630710218986	142.618346949271	148.20550012222	213.330125875756	123.658631265053	107.799794912446	143.908547271027	224.232485525691	149.674304788262	109.47385548462	118.12098847335	370.587911354791	139.206720060209	8905.07606803814	225.106042292352	136.324895144601	136.57953899357	123.612168832927
Helicobacter	514.398945336327	523.38895645024	776.555206109044	614.439585574438	638.692609511447	597.970077452575	506.832471830651	483.674230928343	624.762308661239	565.506691732674	620.232832908345	494.545117637489	498.752223836464	575.822447989288	608.98246760681	1047.75835915209	956.994480302985	529.110340935611	520.906232184306	563.126637048073
Klebisiella pneumoniae et rel.	460.868046147112	556.924037856924	604.037217621653	465.176024453716	433.905102293232	844.266270942513	786.05821540573	708.951490783078	458.833655900765	689.93457046006	866.562568056212	485.609641975125	403.249382663397	4301.93274584476	495.960924996684	15332.6131982624	652.144640969388	392.257786178257	365.32483426163	1152.64742856748
Lachnobacillus bovis et rel.	184935.576538916	11312.5185240459	103264.528740329	15815.2853202185	35380.3108911878	6756.2692397336	63832.635523126	55427.0475421848	210722.469523842	82837.6923435183	17351.3915127359	78470.6599551036	19245.7125489952	1320.22829993157	3480.58406429169	1576.26109756366	92328.4632426712	43395.0776484775	9939.72449743708	82150.8827916432
Lachnospira pectinoschiza et rel.	130020.29284778	34123.4158815623	139822.135604592	95326.1763430902	65453.1931694061	55779.7268265266	114946.262777418	101047.875062725	60557.820843886	140362.10768742	110153.013522375	235490.139473126	118437.730201318	2930.08053039369	31454.8460743864	4546.01592366838	71196.4242304271	184196.286021028	89828.4097572064	376857.721570912
Lactobacillus catenaformis et rel.	37.6297792721455	37.2758956779855	57.1377398935757	45.6130139585545	43.7984075078973	44.6224301371845	35.986614777849	36.3130109941581	45.5652865435811	40.5466961550131	50.1107666439231	35.858370879787	35.544279087189	37.2479264488559	46.8334216931436	42.9828466240393	70.8345576730974	40.3125387025337	37.557328619182	39.8346669196406
Lactobacillus gasseri et rel.	2649.53211844606	1843.39087732331	3426.76324280987	2299.61059740685	53148.9250149145	1759.31152202085	2871.1035128594	1570.98394372502	2357.20917580811	7196.12633740443	2616.62556474385	1928.95745346636	1631.2172164263	1689.72115236024	2217.52674962915	3348.26659632393	8576.67638699603	1763.78523123814	1517.88254890505	4159.76423315229
Lactobacillus plantarum et rel.	1849.53537844461	1733.57985193724	2707.12174763808	2212.85742267592	23552.1311258635	2034.25717490244	6071.55578477247	1690.14972225086	2169.97138332477	2350.66480324297	2642.46333616924	1694.23382797626	1745.11220601	1697.61035242364	2905.94352763073	2879.56323375694	4005.00899138107	1850.46764423544	1769.40419071562	2385.11611052102
Lactobacillus salivarius et rel.	385.121902430419	356.626066768158	561.885614287017	460.935778016146	3727.83197036992	431.872245894913	381.289289504385	440.377308740322	452.902656044515	418.743406703071	499.770943237736	349.310778093248	417.194330234386	884.831992440855	632.626986902305	500.395358807183	706.089381407025	381.011939199985	358.910438474564	519.305265514229
